id,code,name,brand_id,category_id,presentation,unit_price,cost_price,min_stock,is_active,created_at,updated_at,wholesale_price,comentario
1,00001,12-1.5W,,7,,0.00,1.50,0,t,2026-03-06 02:04:42.134997+00,,,
2,00002,12-1.5W1,,7,,0.00,0.50,0,t,2026-03-06 02:04:42.134997+00,,,
3,00003,RETEN 14-28-07,,7,,0.00,1.85,0,t,2026-03-06 02:04:42.134997+00,,,
4,00004,ABRAZADERA INOX 12MM 100-120,8,7,,0.00,1.63,0,t,2026-03-06 02:04:42.134997+00,,,
5,00005,ABRAZADERA INOX 12MM 23-35 1 1/2,8,7,,0.00,0.77,0,t,2026-03-06 02:04:42.134997+00,,,
6,00006,ABRAZADERA INOX 12MM 30-45,8,7,,0.00,0.82,0,t,2026-03-06 02:04:42.134997+00,,,
7,00007,"ABRAZADERA INOX 12MM 35-50 2""",8,7,,0.00,0.83,0,t,2026-03-06 02:04:42.134997+00,,,
8,00008,ABRAZADERA INOX 12MM 60-80,8,7,,0.00,1.25,0,t,2026-03-06 02:04:42.134997+00,,,
9,00009,ABRAZADERA INOX 9MM 10-16,8,7,,0.00,0.53,0,t,2026-03-06 02:04:42.134997+00,,,
10,00010,ANILLO PLANO 1 ZINC,,8,,0.00,0.49,0,t,2026-03-06 02:04:42.134997+00,,,
11,00011,ABRAZADERA INOX 9MM 8-12 MM,8,7,,0.00,0.32,0,t,2026-03-06 02:04:42.134997+00,,,
12,00012,RETEN VALVULA PULSAR 135 FZ16 /R15 SUN JP,9,7,,0.00,2.02,0,t,2026-03-06 02:04:42.134997+00,,,
13,00013,ABRAZADERA MUELL TOLVA MFG CHICO 4PZ,10,7,,0.00,7.50,0,t,2026-03-06 02:04:42.134997+00,,,
14,00014,RETEN 15-30-5 AKURO R- ME 700547,11,9,,0.00,7.80,0,t,2026-03-06 02:04:42.134997+00,,,
15,00015,ABRAZADERA 10-52  TITAN PALIER,,10,,0.00,0.49,0,t,2026-03-06 02:04:42.134997+00,,,
17,00017,"ABRAZADERA  3/4"" TW",,12,,0.00,0.25,0,t,2026-03-06 02:04:42.134997+00,,,
18,00018,"ABRAZADERA  5/8"" TW",13,12,,0.00,0.15,0,t,2026-03-06 02:04:42.134997+00,,,
19,00019,ABRAZADERA  7/8 TW,,11,,0.00,0.28,0,t,2026-03-06 02:04:42.134997+00,,,
20,00020,"ABRAZADERA 1"" TW",12,11,,0.00,0.38,0,t,2026-03-06 02:04:42.134997+00,,,
21,00021,ABRAZADERA 10-24 TITAN PALIER,,10,,0.00,1.12,0,t,2026-03-06 02:04:42.134997+00,,,
22,00022,"ABRAZADERA 1"" 1/2",13,13,,0.00,0.45,0,t,2026-03-06 02:04:42.134997+00,,,
23,00023,"ABRAZADERA 1"" 1/4 TW",13,11,,0.00,0.35,0,t,2026-03-06 02:04:42.134997+00,,,
24,00024,ABRAZADERA 10-16 TITAN,,13,,0.00,1.65,0,t,2026-03-06 02:04:42.134997+00,,,
25,00025,"ABRAZADERA 2"" 1/2 TW",13,12,,0.00,0.56,0,t,2026-03-06 02:04:42.134997+00,,,
26,00026,"ABRAZADERA 2"" TW",13,11,,0.00,0.45,0,t,2026-03-06 02:04:42.134997+00,,,
27,00027,ABRAZADERA 3 TW,13,11,,0.00,0.65,0,t,2026-03-06 02:04:42.134997+00,,,
28,00028,ABRAZADERA 3 1/2,,12,,0.00,0.80,0,t,2026-03-06 02:04:42.134997+00,,,
29,00029,MANIJA FRENO CALIPER BOMBA CBF150,14,12,,0.00,0.10,0,t,2026-03-06 02:04:42.134997+00,,,
30,00030,"ABRAZADERA 4"" TW",13,11,,0.00,0.80,0,t,2026-03-06 02:04:42.134997+00,,,
31,00031,"ABRAZADERA 5""",,13,,0.00,0.85,0,t,2026-03-06 02:04:42.134997+00,,,
32,00032,ABRAZADERA MUELLE MFG 10MMX15CM RCC,14,12,,0.00,2.00,0,t,2026-03-06 02:04:42.134997+00,,,
33,00033,ABRAZADERA MUELLE MFG 10MMX17CM RCC,14,12,,0.00,2.00,0,t,2026-03-06 02:04:42.134997+00,,,
34,00034,ABRAZADERA MUELLE MFG 12MMX17CM UND RCC 4369 0779,14,7,,0.00,3.00,0,t,2026-03-06 02:04:42.134997+00,,,
35,00035,ABRAZADERA MUELLE MFG KIT KIGCOL ZS300 DK,15,12,,0.00,18.89,0,t,2026-03-06 02:04:42.134997+00,,,
36,00036,MEDIDOR ACEITE FURGON CAJA RETROCESO S/M 63011725,16,12,,0.00,0.55,0,t,2026-03-06 02:04:42.134997+00,,,
37,00037,ABRAZADERA TAPABARRO CG,17,12,,0.00,0.50,0,t,2026-03-06 02:04:42.134997+00,,,
38,00038,ABRAZADERA TAPABARRO GL,17,12,,0.00,0.50,0,t,2026-03-06 02:04:42.134997+00,,,
39,00039,ABRAZADERA ASIENTO MTKAR C/PERNOS,,11,,0.00,0.12,0,t,2026-03-06 02:04:42.134997+00,,,
40,00040,FOCO SALON LED 12V 10X36 AVION,18,7,,0.00,0.63,0,t,2026-03-06 02:04:42.134997+00,,,
41,00041,FOCO 1C 12V 21W AMBAR AAA,,7,,0.00,0.54,0,t,2026-03-06 02:04:42.134997+00,,,
42,00042,ABRAZADERA TUBO ESCAPE SCOOTER SET,19,7,,0.00,11.88,0,t,2026-03-06 02:04:42.134997+00,,,
43,00043,ABRIDOR CAMBIO CB125 24621-107-760 24621KRFS00 HONDA,20,12,,0.00,3.10,0,t,2026-03-06 02:04:42.134997+00,,,
44,00044,ACANPANADOR P/TUBO,,7,,0.00,27.50,0,t,2026-03-06 02:04:42.134997+00,,,
45,00045,ACC. B.D/EMBR. ASI KIA MAZDA -2  5/8,,7,,0.00,19.00,0,t,2026-03-06 02:04:42.134997+00,,,
46,00046,ACC. B.D/EMBR. ASI KIA MAZDA -3  5/8,,7,,0.00,20.00,0,t,2026-03-06 02:04:42.134997+00,,,
