product_id,product_code,product_name,catalog_name,score,catalog
15902,15902,"CAMARA 17-350/400 BUTYL -FORTE","CAMARA JOURNEY 130/60-13 BUTYL",78,GDM
14795,14795,"COMANDO DERECHO 1CABLE -KIGCOL","COMANDO DERECHO C100/110 CHINAS LIGUANG",87,GDM
3395,03395,"EJE PRINCIPAL 11T CG200/250 SOLO -KIGCOL","EJE PRINCIPAL CG250 11T GDM",85,GDM
4469,04469,"FARO DELANTERO WAVE COMPL KLT-WAVE-001","FARO DELANTERO WAVE2015 GDM",90,GDM
6795,06795,"MONOSHOCK 320MM XTZ125 -KIGCOL","MONOSHOCK XTZ125 PROFESIONAL",84,GDM
2838,02838,"PIÑON TORRE CORONA 14T YANGZU","PIÑON TORRE GDM",100,GDM
14953,14953,"RETEN 30-47\62-2.6\9 CAJA RETRO","RETEN CAJA RETROCESO 30-47/62-2.4/9 GDM",88,GDM
15894,15894,"BALANCINES CB1 C/RODILLOS -KIGCOL","BALANCINES CB1 C/RODILLOS",100,Lima
15155,15155,"BUJIA PULSAR NS200 -BJR","BUJIA PULSAR200NS IRIDIO",91,Lima
15509,15509,"CARBURADOR PULSAR150 -KIGCOL","CARBURADOR PULSAR150",100,Lima
2304,02304,"CATALINA 40T FZ16 (428)-BJR","CATALINA 40T FZ16 (428)",100,Lima
15158,15158,"CATALINA 42T CB110/CB150(428)-BJR","CATALINA 42T CB110/CB150 (428)",100,Lima
2367,02367,"CATALINA 54T NXR125 (428)-BJR","CATALINA 46T XR125 (1055)",84,Lima
15699,15699,"COMANDO PULSAR 220NS -BJR IZQ/DER","COMANDO PULSAR220NS DERECHO/IZQUIERDO",82,Lima
15694,15694,"DISCO FRENO POST PULSAR NS200 -BJR","DISCO FRENO PULSAR NS200 POSTERIOR",92,Lima
15752,15752,"ECU GLH150 HONDA -KIGCOL 38770-KYY-CO30","ECU GLH150 HONDA",100,Lima
3714,03714,"ESPEJO REVOLUCION NEGRO -BJR","ESPEJO REVOLUTION NEGRO",96,Lima
4530,04530,"FARO DIRECCIONAL CB150 INVICTA -BJR","FARO DIRECCIONAL CB150 INVICTA",100,Lima
15688,15688,"FARO DIRECCIONAL WX150 LED FLOW -BJR","FARO LED DIRECCIONAL WX150 FLOW",100,Lima
15162,15162,"HILO P/HELICOI 10X25 -BJR (M10)","HILO P/ HELICOI 10X25",98,Lima
15147,15147,"LLANTA 17-90/90 8PR TL SF005 -SAFEWAY","LLANTA 90/90-17 SF005 8PR TL SAFEWAY NO USA CAMARA",84,Lima
14985,14985,"MANIJA FRENO C\BASE EVO125 ZS","MANIJA FRENO WX150 C/BASE",82,Lima
7040,07040,"PATIN SELECTOR EMBRAGUE TIPO B -KIGCOL","PATIN EMBRAGUE (SELECTOR) TIPO A",97,Lima
15014,15014,"PISTAS TIMON TNT150 \TNT15 25X45-26X48 BENELLI","PISTA TIMON CRYPTON110",78,Lima
9931,09931,"VALVULA ADMISION CG250 C/SEGUROS -KIGCOL","VALVULA ADMISION CG250 C/SEGUROS",100,Lima
